"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"eb3484abd9cff222a6ccddd87a24d4ad","d__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__Bathyarchaeia","f__Bathyarchaeia","g__Bathyarchaeia","s__uncultured_marine"
"b579056ad40f0a245b154fd8d198d22e","d__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__Bathyarchaeia","f__Bathyarchaeia","g__Bathyarchaeia","s__unidentified_archaeon"
"c8da9071e54eae0aeaae395d4b0521bd","d__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__Bathyarchaeia","f__Bathyarchaeia","g__Bathyarchaeia","d__Archaea"
"b30707b8029149644410d0532b0e00fd","d__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__Bathyarchaeia","f__Bathyarchaeia","g__Bathyarchaeia","s__uncultured_archaeon"
"7c24bfaa2efc5f195192296403da56e0","d__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__Bathyarchaeia","f__Bathyarchaeia","g__Bathyarchaeia","s__uncultured_miscellaneous"
"90a10563a705bc8a3673be245fbbb835","d__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__Bathyarchaeia","f__Bathyarchaeia","g__Bathyarchaeia","d__Archaea"
"f3f5ba7101970b271bd4af9a7d083d2c","d__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Nitrososphaeraceae","d__Archaea"
"a48d6d158f061b26e0edbac12aa2c4c8","d__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Nitrososphaeraceae","s__unidentified_archaeon"
"8946e695288891374279cb09728b0150","d__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Nitrososphaeraceae","s__metagenome"
"d198abfc13323f72f3f30f86f0f9c1fa","d__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Nitrososphaeraceae","d__Archaea"
"4749829f06884bd03b6acdfe31e29854","d__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Nitrososphaeraceae","d__Archaea"
"07cf840344c868f6019c50bb063f1459","d__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrososphaera","s__unidentified_archaeon"
"1b9b33122b62d34c071383d4cd4e80c3","d__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrocosmicus","d__Archaea"
"dd57045f2ed0414432b49d3cf0bbd567","d__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","d__Archaea","p__Crenarchaeota"
"050623b0123c49cbcc7cc0fd38e4c50f","d__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrocosmicus","d__Archaea"
